"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
53007,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1",999,"NA",999,"move a block from row5cell17 to circlerow5cell09",11395,"NA"
"NA",67035,"NA",1,"move red B1","move",12029,"move a block from row5cell18 to circlerow4cell09",999,"NA",0
53007,67035,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1",999,"NA",999,"move a block from row6cell18 to circlerow4cell08",9170,0
53007,67035,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1","move",3066,"move a block from row5cell14 to circlerow3cell09",999,9170,0
53007,67035,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1",999,3066,999,"move a block from row5cell13 to circlerow2cell09",3066,0
53007,67035,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1","move",17879,"move a block from row5cell05 to circlerow3cell08",999,3066,0
53007,67035,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1",999,17879,999,"move a block from row5cell01 to circlerow2cell08",16799,0
53007,67035,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1","move",38864,"move a block from row5cell04 to circlerow5cell01",999,16799,0
53007,67035,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1",999,38864,999,"move a block from row2cell08 to circlerow4cell07",12176,0
53007,67035,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,blue,blue,red,blue,red,green,white,white,green,white,red,red,white,green,red,red,blue,green,blue,red,green,blue,red,green,green,white,blue,blue,blue,green,blue,green,green,red",1,"move red B1","move",3772,"move a block from row6cell04 to circlerow3cell07",999,12176,0
