"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
43467,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",1,"clear nocolor A1",999,"NA",999,"move a block from row5cell01 to circlerow5cell17",9588,"NA"
"NA",52540,"NA",1,"clear nocolor A1","move",7735,"move a block from row5cell04 to circlerow5cell18",999,"NA",0
43467,52540,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",1,"clear nocolor A1",999,"NA",999,"move a block from row6cell03 to circlerow4cell16",8633,0
43467,52540,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",1,"clear nocolor A1","move",14112,"move a block from row6cell04 to circlerow4cell15",999,8633,0
43467,52540,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",1,"clear nocolor A1",999,14112,999,"move a block from row6cell02 to circlerow3cell16",3287,0
43467,52540,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",1,"clear nocolor A1","move",7899,"move a block from row6cell01 to circlerow4cell17",999,3287,0
43467,52540,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",2,"cover red all",999,7899,999,"move a block from row6cell05 to circlerow5cell03",10399,1
43467,52540,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",2,"cover red all","move",8203,"move a block from row5cell06 to circlerow5cell02",999,10399,0
43467,52540,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",2,"cover red all",999,8203,999,"move a block from row6cell12 to circlerow5cell11",4700,0
43467,52540,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,white,white,white,white,white,white,white,white,white,green,white,white,green,white,blue,red,blue,red,white,white,white,red,green,green,blue,white,white,red,green,red,blue,green,blue,green,green,red,blue,red,blue,green,red,red,red,blue,blue",2,"cover red all","move",3334,"move a block from row6cell18 to circlerow5cell17",999,4700,0
