"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
44186,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",1,"clear nocolor B",999,"NA",999,"move a block from row5cell09 to circlerow4cell04",6074,"NA"
"NA",51001,"NA",1,"clear nocolor B","move",16495,"move a block from row6cell09 to circlerow4cell05",999,"NA",0
44186,51001,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",1,"clear nocolor B",999,"NA",999,"move a block from row6cell08 to circlerow4cell06",2997,0
44186,51001,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",1,"clear nocolor B","pass",13289,"pass",999,2997,0
44186,51001,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",1,"clear nocolor B",999,13289,999,"move a block from row5cell10 to circlerow5cell01",5243,0
44186,51001,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",1,"clear nocolor B","move",13612,"move a block from row6cell10 to circlerow3cell06",999,5243,0
44186,51001,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",1,"clear nocolor B",999,13612,999,"move a block from row6cell11 to circlerow3cell05",17114,0
44186,51001,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",1,"clear nocolor B","move",7616,"move a block from row6cell12 to circlerow3cell04",999,17114,0
44186,51001,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",2,"move green B2",999,7616,999,"move a block from row5cell10 to circlerow4cell06",10711,1
44186,51001,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,blue,green,blue,green,red,white,white,red,blue,white,white,green,white,green,blue,white,red,green,blue,blue,blue,blue,red,white,green,red,red,red,red,green,red,blue,green,green,blue",2,"move green B2","move",13723,"move a block from row6cell10 to circlerow4cell05",999,10711,0
