"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
16229,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all",999,"NA",999,"move a block from row5cell08 to circlerow5cell05",12869,"NA"
16229,42751,"NA",1,"uncover red all","move",6110,"move a block from row4cell13 to circlerow4cell05",999,"NA",0
16229,42751,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all",999,6110,999,"move a block from row5cell13 to circlerow4cell16",12775,0
16229,42751,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all","pass",11557,"pass",999,12775,0
16229,42751,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all",999,11557,999,"move a block from row4cell01 to circlerow4cell15",16419,0
16229,42751,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all","move",2716,"move a block from row5cell14 to circlerow6cell10",999,16419,0
16229,42751,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all",999,2716,999,"move a block from row5cell01 to circlerow5cell17",14776,0
16229,42751,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all","move",4089,"move a block from row4cell05 to circlerow5cell14",999,14776,0
16229,42751,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all",999,4089,999,"move a block from row5cell11 to circlerow4cell18",18211,0
16229,42751,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,green,white,red,white,white,white,white,blue,green,white,blue,blue,blue,green,green,blue,white,green,red,blue,green,red,blue,red,red,red,blue,white,red,green,red,red,green,blue,green,blue",1,"uncover red all","move",2146,"move a block from row5cell09 to circlerow4cell17",999,18211,0
