ID,goal,first_move,first_move_rank,first_move_possible_goals,before_first_move,first_move_serves_goal,total_moves_serves_goal,mean_random_samples_rank,first_move_possible_goal_goals
91484.0,fill nocolor C1,"(70, 84)",34,12,"[(87, 67) (89, 68) (70, 67) (80, 84) (81, 67) (87, 68) (89, 67) (70, 68)
 (81, 68) (91, 67) (91, 68) (91, 84) (92, 67) (92, 68) (92, 84) (95, 67)
 (95, 68) (95, 84) (96, 67) (96, 68) (96, 84) (97, 67) (97, 68) (97, 84)
 (58, 68) (72, 84) (80, 67) (80, 68) (81, 84) (82, 68) (83, 67) (58, 67)
 (82, 67) (83, 68)]",1.0,42,21.115,"['move green A', 'clear nocolor C2', 'move green B1', 'move green B2', 'move green A2', 'move green B', 'fill nocolor C1', 'move green A1', 'move red C1', 'move green C1', 'cover red all', 'uncover green all']"
91484.0,fill nocolor A2,"(92, 93)",1,3,"[(91, 93)]",1.0,45,21.999,"['clear nocolor A1', 'fill nocolor A2', 'move blue A2']"
91484.0,cover green all,"(83, 64)",48,0,"[(91, 54) (92, 54) (102, 67) (95, 54) (96, 63) (96, 64) (97, 63) (97, 64)
 (80, 63) (80, 64) (89, 67) (58, 54) (80, 54) (91, 63) (91, 64) (91, 67)
 (92, 63) (92, 64) (92, 67) (95, 63) (95, 64) (95, 67) (96, 54) (96, 67)
 (97, 54) (97, 67) (102, 54) (102, 63) (102, 64) (80, 67) (58, 64)
 (58, 67) (82, 67) (85, 64) (89, 64) (58, 63) (82, 63) (72, 63) (72, 64)
 (72, 67) (82, 54) (85, 54) (85, 63) (89, 54) (89, 63) (72, 73) (81, 64)
 (83, 63)]",0.0,45,22.818,[]
91484.0,cover red all,"(92, 73)",3,1,"[(70, 69) (81, 65) (87, 52)]",1.0,99,48.901,['cover red all']
91484.0,move red A,"(80, 73)",0,5,[],1.0,36,16.774,"['clear nocolor B', 'clear nocolor B1', 'move red A', 'move red A1', 'fill nocolor A1']"
91484.0,uncover red all,"(72, 74)",15,9,"[(80, 78) (80, 79) (70, 67) (80, 63) (80, 64) (70, 68) (80, 93) (80, 40)
 (80, 67) (80, 68) (80, 74) (80, 77) (70, 63) (70, 64) (70, 40)]",1.0,30,14.264,"['move red C2', 'uncover red all', 'cover blue all', 'move red B', 'move red A2', 'move red B2', 'move red C1', 'move red B1', 'move red C']"
91484.0,clear nocolor A2,"(58, 73)",24,13,"[(95, 54) (95, 73) (95, 74) (58, 54) (95, 52) (95, 62) (95, 63) (95, 64)
 (95, 65) (95, 67) (95, 68) (95, 69) (95, 71) (95, 78) (95, 79) (95, 84)
 (58, 68) (58, 64) (58, 67) (58, 52) (58, 63) (58, 65) (58, 69) (58, 74)]",1.0,30,14.128,"['move green B1', 'move green B2', 'move blue A1', 'move green B', 'uncover blue all', 'move green C2', 'move green A1', 'clear nocolor A2', 'fill nocolor A1', 'move green C1', 'cover red all', 'move green C', 'uncover green all']"
91484.0,clear nocolor A1,"(92, 93)",1,3,"[(91, 93)]",1.0,45,21.749,"['clear nocolor A1', 'fill nocolor A2', 'move blue A2']"
91484.0,move blue C,"(92, 84)",5,6,"[(92, 52) (92, 67) (92, 68) (92, 69) (92, 71)]",1.0,42,20.796,"['move blue C', 'clear nocolor A1', 'fill nocolor C1', 'cover red all', 'clear nocolor A', 'move blue C1']"
91484.0,uncover green all,"(83, 78)",17,12,"[(81, 62) (81, 78) (81, 79) (81, 93) (81, 71) (81, 73) (81, 74) (81, 77)
 (81, 84) (58, 77) (58, 93) (70, 71) (86, 84) (87, 71) (58, 74) (70, 84)
 (83, 62)]",1.0,54,25.972,"['move green A', 'move green B1', 'clear nocolor B2', 'move green A2', 'cover blue all', 'fill nocolor B1', 'move green C2', 'move green A1', 'move red B1', 'move green C1', 'move green C', 'uncover green all']"
