ID,goal,goal_number,goal_type,optimal_moves,move_id,move,role,move_utility
91484.0,fill nocolor C1,1,fill,13,0,"(70, 84)",architect,1
91484.0,fill nocolor C1,1,fill,13,1,"(88, 66)",helper,1
91484.0,fill nocolor C1,1,fill,13,2,"(89, 67)",architect,1
91484.0,fill nocolor C1,1,fill,13,3,"(107, 49)",helper,1
91484.0,fill nocolor C1,1,fill,13,4,"(87, 68)",architect,1
91484.0,fill nocolor C1,1,fill,13,5,"(105, 50)",helper,1
91484.0,fill nocolor C1,1,fill,13,6,"(82, 48)",architect,1
91484.0,fill nocolor C1,1,fill,13,7,"(100, 30)",helper,1
91484.0,fill nocolor C1,1,fill,13,8,"(80, 31)",architect,1
91484.0,fill nocolor C1,1,fill,13,9,"(98, 13)",helper,1
91484.0,fill nocolor C1,1,fill,13,10,"(81, 32)",architect,1
91484.0,fill nocolor C1,1,fill,13,11,"(99, 14)",helper,1
91484.0,fill nocolor C1,1,fill,13,12,"(97, 12)",architect,1
91484.0,fill nocolor A2,2,fill,14,0,"(92, 93)",architect,1
91484.0,fill nocolor A2,2,fill,14,1,pass,helper,0
91484.0,fill nocolor A2,2,fill,14,2,"(91, 75)",architect,1
91484.0,fill nocolor A2,2,fill,14,3,"(72, 57)",helper,1
91484.0,fill nocolor A2,2,fill,14,4,"(90, 77)",architect,1
91484.0,fill nocolor A2,2,fill,14,5,"(80, 59)",helper,1
91484.0,fill nocolor A2,2,fill,14,6,"(96, 39)",architect,1
91484.0,fill nocolor A2,2,fill,14,7,"(97, 21)",helper,1
91484.0,fill nocolor A2,2,fill,14,8,"(98, 40)",architect,1
91484.0,fill nocolor A2,2,fill,14,9,"(81, 22)",helper,1
91484.0,fill nocolor A2,2,fill,14,10,"(82, 41)",architect,1
91484.0,fill nocolor A2,2,fill,14,11,"(99, 23)",helper,1
91484.0,fill nocolor A2,2,fill,14,12,"(83, 3)",architect,1
91484.0,fill nocolor A2,2,fill,14,13,"(102, 4)",helper,1
91484.0,fill nocolor A2,2,fill,14,14,"(101, 5)",architect,1
91484.0,cover green all,3,cover,4,0,"(83, 64)",architect,0
91484.0,cover green all,3,cover,4,1,pass,helper,0
91484.0,cover green all,3,cover,4,2,"(91, 54)",architect,1
91484.0,cover green all,3,cover,4,3,pass,helper,0
91484.0,cover green all,3,cover,4,4,"(97, 63)",architect,1
91484.0,cover green all,3,cover,4,5,"(89, 69)",helper,0
91484.0,cover green all,3,cover,4,6,"(96, 83)",architect,1
91484.0,cover green all,3,cover,4,7,"(107, 65)",helper,0
91484.0,cover green all,3,cover,4,8,"(69, 67)",architect,1
91484.0,cover red all,4,cover,7,0,"(92, 73)",architect,1
91484.0,cover red all,4,cover,7,1,pass,helper,0
91484.0,cover red all,4,cover,7,2,"(97, 62)",architect,1
91484.0,cover red all,4,cover,7,3,"(58, 71)",helper,1
91484.0,cover red all,4,cover,7,4,"(82, 65)",architect,1
