ID,goal_noise,action_noise
91484,-2.247182953,-2.907302711
98763,0.550464037,9.152214177
33708,1.138674273,2.752720195
51325,1.177912461,3.759706743
42292,1.123638536,3.112887394
43580,3.175916679,3.96128648
14189,1.843570426,3.821865446
19737,1.556831209,4.164068009
56864,1.234677645,4.55430353
66473,1.144648146,3.530518024
67590,0.847762674,3.938919678
97388,0.571954936,4.972463946
26365,0.967618736,5.208905347
62686,1.016640236,3.757069754
31601,0.720593078,4.865652751
67505,0.916768524,1.713276201
39232,0.760840556,2.939110329
36524,1.299135215,1.087116164
78276,0.783180242,4.428003696
99977,6.665173406,1.970208671
50905,36.20344009,2.571423302
75842,1.396521215,4.682632564
49589,1.308983508,4.33844754
53463,4.012669601,2.641681987
27371,0.932762548,3.753687046
20272,4.565214976,2.466487838
19487,0.599029655,3.235028627
20340,0.945701092,6.074631977
68825,2.378380872,1.888284549
13662,2.318719654,2.865162838
29690,2.084618869,4.932906868
92567,2.259073979,2.876377399
96815,35.47182517,2.179895213
85609,1.541751588,3.965988346
26316,36.30556706,3.166427734
40168,0.486939173,6.331885055
51310,1.304072724,2.967547679
50933,0.453456691,4.817124102
37196,1.179593995,3.789241915
79463,2.186354895,4.84239268
27392,0.818274941,4.780368532
80393,1.238807313,4.104370964
94317,2.988605683,1.318020358
70176,1.763540489,5.879608925
53968,1.70016154,4.903352891
73406,2.552620675,3.664041173
16229,1.087934464,5.70173742
58601,2.41429315,4.765063771
28567,1.225914297,4.785003757
47326,0.700690461,9.513816234
37887,1.916601522,2.234297671
64140,3.623950539,0.650912508
79869,3.839634649,3.683332201
58692,34.23581002,1.673862002
91733,0.70925161,6.092237764
39277,2.015398529,2.912008289
36088,0.768792661,8.048668248
74045,1.71821776,3.340858162
26027,0.545385588,3.491535656
35291,0.742928091,4.269865559
49030,2.517948306,1.841364633
55983,2.816177237,2.905201766
71814,0.481933464,4.809594095
22765,0.318873126,7.088515014
93884,6.182763214,2.235183492
89675,2.49477897,3.147496378
86933,0.875721021,5.349568117
53007,234.2136389,5.925172722
58637,-0.281820851,-3.59101767
18558,0.684938807,6.531134713
88653,2.038122581,4.29946845
82980,1.19167029,4.444698325
84838,0.871770855,4.395275682
50151,0.55906799,6.185712615
32385,2.21215915,3.382750589
63576,50.62717657,2.600668798
93940,49.17256565,3.291767683
93952,3.795733163,4.025231797
87384,1.462832017,2.345962553
