"access","exit","WorkerId","hid","AssignmentId","bonus","Approve","Reject","helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","goalSuccess","completioncode"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,"NA",999,"move a block from row5cell10 to circlerow5cell12","NA","NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"NA",1,"uncover blue all","move",16650,"move a block from row5cell08 to circlerow4cell12",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,"NA",999,"move a block from row6cell08 to row3cell12",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",9131,"move a block from row5cell16 to circlerow2cell12",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,9131,999,"move a block from row4cell13 to circlerow3cell15",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",7441,"move a block from row6cell09 to circlerow2cell15",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,7441,999,"move a block from row5cell14 to circlerow5cell16",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","pass",12388,"pass",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,12388,999,"move a block from row6cell04 to circlerow4cell01",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",5785,"move a block from row6cell07 to circlerow3cell01",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,5785,999,"move a block from row5cell03 to circlerow5cell05",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","pass",8265,"pass",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,8265,999,"move a block from row2cell12 to circlerow5cell06",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",7586,"move a block from row6cell10 to circlerow2cell01",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,7586,999,"move a block from row3cell12 to circlerow4cell06",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",6796,"move a block from row6cell18 to circlerow5cell11",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,6796,999,"move a block from row4cell12 to circlerow3cell06",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",5343,"move a block from row5cell12 to circlerow3cell17",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,5343,999,"move a block from row6cell12 to circlerow2cell06",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",6687,"move a block from row2cell15 to circlerow4cell05",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,6687,999,"move a block from row3cell15 to circlerow3cell05",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","pass",10258,"pass",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,10258,999,"move a block from row4cell15 to circlerow4cell16",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","pass",8189,"pass",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,8189,999,"move a block from row5cell11 to circlerow6cell10",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",7885,"move a block from row5cell13 to circlerow6cell12",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,7885,999,"move a block from row2cell01 to row6cell09",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","move",6314,"move a block from row3cell01 to row6cell08",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,6314,999,"move a block from row4cell01 to circlerow6cell07",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","pass",7535,"pass",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all",999,7535,999,"move a block from row5cell01 to circlerow6cell04",0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",1,"uncover blue all","done",7535,"done",999,0,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",2,"fill nocolor C2",999,7535,999,"move a block from row4cell15 to circlerow5cell18",1,"NA"
"NA","NA","NA","NA","NA","NA","NA","NA",98299,52875,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,green,white,red,white,blue,white,red,white,white,white,white,green,white,red,white,white,blue,green,red,green,red,white,blue,green,green,blue,red,green,blue,green,red,blue,blue,green,blue,blue,red,green,red,blue",2,"fill nocolor C2","move",7517,"move a block from row5cell10 to circlerow5cell05",999,0,"NA"
