ID,goal,goal_number,goal_type,optimal_moves,move_id,move,role,move_utility,literalA_prob,literalA_probmax,literalA_bestmove,pragA_prob,pragA_probmax,pragA_bestmove,level1_H_prob,level1_H_probmax,level1_H_bestmove,level2_H_prob,level2_H_probmax,level2_H_bestmove
10073,uncover green all,1,uncover,4,0,"(80, 78)",architect,1,0.00971,0.00971,"[(54, 41), (54, 48), (54, 67), (54, 69), (54, 78), (54, 82), (54, 86), (54, 88), (54, 99), (57, 41), (57, 48), (57, 67), (57, 69), (57, 78), (57, 82), (57, 86), (57, 88), (57, 99), (73, 41), (73, 48), (73, 67), (73, 69), (73, 78), (73, 82), (73, 86), (73, 88), (73, 99), (80, 41), (80, 48), (80, 67), (80, 69), (80, 78), (80, 82), (80, 86), (80, 88), (80, 99)]",0.0046,0.00556,"[(73, 67)]",NA,NA,NA,NA,NA,NA
10073,uncover green all,1,uncover,4,1,pass,helper,0,NA,NA,NA,NA,NA,NA,0.00148,0.14752,"[(57, 86)]",0.00269,0.08517,"[(57, 86)]"
10073,uncover green all,1,uncover,4,2,"(92, 55)",architect,-1,0.00142,0.01047,"[(54, 41), (54, 48), (54, 60), (54, 67), (54, 69), (54, 82), (54, 86), (54, 88), (54, 99), (57, 41), (57, 48), (57, 60), (57, 67), (57, 69), (57, 82), (57, 86), (57, 88), (57, 99), (73, 41), (73, 48), (73, 60), (73, 67), (73, 69), (73, 82), (73, 86), (73, 88), (73, 99)]",0.00259,0.00933,"[(73, 48)]",NA,NA,NA,NA,NA,NA
10073,uncover green all,1,uncover,4,3,"(104, 67)",helper,0,NA,NA,NA,NA,NA,NA,0.00045,0.12703,"[(57, 86)]",0.00248,0.07536,"[(57, 86)]"
10073,uncover green all,1,uncover,4,4,"(54, 92)",architect,1,0.01092,0.01092,"[(54, 41), (54, 48), (54, 49), (54, 60), (54, 69), (54, 82), (54, 88), (54, 92), (54, 99), (54, 104), (55, 41), (55, 48), (55, 49), (55, 60), (55, 69), (55, 82), (55, 88), (55, 92), (55, 99), (55, 104), (57, 41), (57, 48), (57, 49), (57, 60), (57, 69), (57, 82), (57, 88), (57, 92), (57, 99), (57, 104)]",0.00496,0.00629,"[(55, 48)]",NA,NA,NA,NA,NA,NA
10073,uncover green all,1,uncover,4,5,"(72, 37)",helper,-1,NA,NA,NA,NA,NA,NA,0.00079,0.14524,"[(57, 104)]",0.00222,0.09316,"[(57, 104)]"
10073,uncover green all,1,uncover,4,6,"(57, 74)",architect,1,0.01083,0.01083,"[(37, 41), (37, 48), (37, 49), (37, 60), (37, 69), (37, 72), (37, 74), (37, 82), (37, 88), (37, 99), (37, 104), (57, 41), (57, 48), (57, 49), (57, 60), (57, 69), (57, 72), (57, 74), (57, 82), (57, 88), (57, 99), (57, 104)]",0.00467,0.00889,"[(37, 72), (37, 74)]",NA,NA,NA,NA,NA,NA
10073,uncover green all,1,uncover,4,7,pass,helper,0,NA,NA,NA,NA,NA,NA,0.00415,0.04939,"[(75, 104)]",0.00482,0.02708,"[(75, 104)]"
10073,uncover green all,1,uncover,4,8,"(37, 41)",architect,1,0.01191,0.01191,"[(37, 41), (37, 48), (37, 49), (37, 56), (37, 60), (37, 69), (37, 72), (37, 82), (37, 88), (37, 99), (37, 104)]",0.01298,0.01298,"[(37, 41)]",NA,NA,NA,NA,NA,NA
10073,uncover green all,1,uncover,4,9,pass,helper,0,NA,NA,NA,NA,NA,NA,0.00331,0.08492,"[(55, 104)]",0.00559,0.02159,"[(67, 56), (67, 72)]"
10073,uncover green all,1,uncover,4,10,"(55, 56)",architect,1,0.01248,0.01248,"[(55, 48), (55, 49), (55, 56), (55, 60), (55, 69), (55, 72), (55, 82), (55, 88), (55, 99), (55, 104)]",0.03899,0.03899,"[(55, 56), (55, 72)]",NA,NA,NA,NA,NA,NA
10073,uncover green all,1,uncover,4,11,pass,helper,0,NA,NA,NA,NA,NA,NA,0.0006,0.12545,"[(73, 104)]",0.00292,0.13902,"[(73, 99)]"
10073,uncover green all,1,uncover,4,12,"(73, 72)",architect,1,0.01312,0.01312,"[(73, 48), (73, 49), (73, 60), (73, 69), (73, 72), (73, 82), (73, 88), (73, 99), (73, 104)]",0.04444,0.04444,"[(73, 72)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor A2,2,clear,7,0,"(57, 36)",architect,1,0.008,0.008,"[(57, 36), (57, 48), (57, 55), (57, 62), (57, 67), (57, 69), (57, 71), (57, 74), (57, 78), (57, 79), (57, 82), (57, 83), (57, 86), (57, 88), (57, 99), (59, 36), (59, 48), (59, 55), (59, 62), (59, 67), (59, 69), (59, 71), (59, 74), (59, 78), (59, 79), (59, 82), (59, 83), (59, 86), (59, 88), (59, 99), (94, 36), (94, 48), (94, 55), (94, 62), (94, 67), (94, 69), (94, 71), (94, 74), (94, 78), (94, 79), (94, 82), (94, 83), (94, 86), (94, 88), (94, 99)]",0.00352,0.00369,"[(59, 55), (59, 74)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor A2,2,clear,7,1,pass,helper,0,NA,NA,NA,NA,NA,NA,3e-05,0.12548,"[(80, 86)]",0.00155,0.09011,"[(80, 86)]"
10073,clear nocolor A2,2,clear,7,2,"(75, 55)",architect,1,0.008,0.008,"[(59, 18), (59, 48), (59, 55), (59, 62), (59, 67), (59, 69), (59, 71), (59, 74), (59, 78), (59, 79), (59, 82), (59, 83), (59, 86), (59, 88), (59, 99), (75, 18), (75, 48), (75, 55), (75, 62), (75, 67), (75, 69), (75, 71), (75, 74), (75, 78), (75, 79), (75, 82), (75, 83), (75, 86), (75, 88), (75, 99), (94, 18), (94, 48), (94, 55), (94, 62), (94, 67), (94, 69), (94, 71), (94, 74), (94, 78), (94, 79), (94, 82), (94, 83), (94, 86), (94, 88), (94, 99)]",0.00366,0.00387,"[(59, 55), (59, 74)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor A2,2,clear,7,3,pass,helper,0,NA,NA,NA,NA,NA,NA,0.00027,0.21027,"[(80, 86)]",0.00379,0.06169,"[(80, 86)]"
10073,clear nocolor A2,2,clear,7,4,"(93, 74)",architect,1,0.008,0.008,"[(59, 18), (59, 37), (59, 48), (59, 62), (59, 67), (59, 69), (59, 71), (59, 74), (59, 78), (59, 79), (59, 82), (59, 83), (59, 86), (59, 88), (59, 99), (93, 18), (93, 37), (93, 48), (93, 62), (93, 67), (93, 69), (93, 71), (93, 74), (93, 78), (93, 79), (93, 82), (93, 83), (93, 86), (93, 88), (93, 99), (94, 18), (94, 37), (94, 48), (94, 62), (94, 67), (94, 69), (94, 71), (94, 74), (94, 78), (94, 79), (94, 82), (94, 83), (94, 86), (94, 88), (94, 99)]",0.0043,0.00439,"[(93, 79)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor A2,2,clear,7,5,"(94, 37)",helper,1,NA,NA,NA,NA,NA,NA,0.00345,0.17787,"[(80, 86)]",0.00366,0.04037,"[(80, 86)]"
10073,clear nocolor A2,2,clear,7,6,"(59, 56)",architect,1,0.01069,0.01069,"[(59, 18), (59, 19), (59, 48), (59, 56), (59, 62), (59, 67), (59, 69), (59, 71), (59, 78), (59, 79), (59, 82), (59, 83), (59, 86), (59, 88), (59, 99)]",0.00659,0.00778,"[(59, 79)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor A2,2,clear,7,7,"(77, 38)",helper,1,NA,NA,NA,NA,NA,NA,0.02695,0.09119,"[(85, 18)]",0.00408,0.03816,"[(85, 86)]"
10073,clear nocolor A2,2,clear,7,8,"(95, 20)",architect,1,0.01069,0.01069,"[(95, 18), (95, 19), (95, 20), (95, 48), (95, 62), (95, 67), (95, 69), (95, 71), (95, 78), (95, 79), (95, 82), (95, 83), (95, 86), (95, 88), (95, 99)]",0.0071,0.01535,"[(95, 79)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor C,3,clear,11,0,"(66, 99)",architect,1,0.00733,0.00733,"[(66, 36), (66, 39), (66, 41), (66, 55), (66, 62), (66, 74), (66, 76), (66, 78), (66, 79), (66, 82), (66, 83), (66, 99), (85, 36), (85, 39), (85, 41), (85, 55), (85, 62), (85, 74), (85, 76), (85, 78), (85, 79), (85, 82), (85, 83), (85, 99), (87, 36), (87, 39), (87, 41), (87, 55), (87, 62), (87, 74), (87, 76), (87, 78), (87, 79), (87, 82), (87, 83), (87, 99), (89, 36), (89, 39), (89, 41), (89, 55), (89, 62), (89, 74), (89, 76), (89, 78), (89, 79), (89, 82), (89, 83), (89, 99), (104, 36), (104, 39), (104, 41), (104, 55), (104, 62), (104, 74), (104, 76), (104, 78), (104, 79), (104, 82), (104, 83), (104, 99), (106, 36), (106, 39), (106, 41), (106, 55), (106, 62), (106, 74), (106, 76), (106, 78), (106, 79), (106, 82), (106, 83), (106, 99)]",0.00349,0.00353,"[(104, 39)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor C,3,clear,11,1,pass,helper,0,NA,NA,NA,NA,NA,NA,5e-05,0.21586,"[(57, 36)]",0.00132,0.14485,"[(57, 78)]"
10073,clear nocolor C,3,clear,11,2,"(84, 81)",architect,1,0.00708,0.00708,"[(84, 36), (84, 39), (84, 41), (84, 55), (84, 62), (84, 74), (84, 76), (84, 78), (84, 79), (84, 81), (84, 82), (84, 83), (85, 36), (85, 39), (85, 41), (85, 55), (85, 62), (85, 74), (85, 76), (85, 78), (85, 79), (85, 81), (85, 82), (85, 83), (87, 36), (87, 39), (87, 41), (87, 55), (87, 62), (87, 74), (87, 76), (87, 78), (87, 79), (87, 81), (87, 82), (87, 83), (89, 36), (89, 39), (89, 41), (89, 55), (89, 62), (89, 74), (89, 76), (89, 78), (89, 79), (89, 81), (89, 82), (89, 83), (104, 36), (104, 39), (104, 41), (104, 55), (104, 62), (104, 74), (104, 76), (104, 78), (104, 79), (104, 81), (104, 82), (104, 83), (106, 36), (106, 39), (106, 41), (106, 55), (106, 62), (106, 74), (106, 76), (106, 78), (106, 79), (106, 81), (106, 82), (106, 83)]",0.00335,0.00342,"[(84, 39)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor C,3,clear,11,3,"(85, 82)",helper,1,NA,NA,NA,NA,NA,NA,0.00049,0.20554,"[(57, 36)]",0.00168,0.1288,"[(57, 78)]"
10073,clear nocolor C,3,clear,11,4,"(102, 63)",architect,1,0.00708,0.00708,"[(87, 36), (87, 39), (87, 41), (87, 55), (87, 62), (87, 63), (87, 64), (87, 74), (87, 76), (87, 78), (87, 79), (87, 83), (89, 36), (89, 39), (89, 41), (89, 55), (89, 62), (89, 63), (89, 64), (89, 74), (89, 76), (89, 78), (89, 79), (89, 83), (102, 36), (102, 39), (102, 41), (102, 55), (102, 62), (102, 63), (102, 64), (102, 74), (102, 76), (102, 78), (102, 79), (102, 83), (103, 36), (103, 39), (103, 41), (103, 55), (103, 62), (103, 63), (103, 64), (103, 74), (103, 76), (103, 78), (103, 79), (103, 83), (104, 36), (104, 39), (104, 41), (104, 55), (104, 62), (104, 63), (104, 64), (104, 74), (104, 76), (104, 78), (104, 79), (104, 83), (106, 36), (106, 39), (106, 41), (106, 55), (106, 62), (106, 63), (106, 64), (106, 74), (106, 76), (106, 78), (106, 79), (106, 83)]",0.00344,0.00365,"[(102, 39), (104, 39)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor C,3,clear,11,5,"(103, 64)",helper,1,NA,NA,NA,NA,NA,NA,0.00033,0.16874,"[(57, 36)]",0.00191,0.13039,"[(57, 78)]"
10073,clear nocolor C,3,clear,11,6,"(104, 45)",architect,1,0.0088,0.0088,"[(87, 36), (87, 39), (87, 41), (87, 45), (87, 46), (87, 55), (87, 62), (87, 74), (87, 76), (87, 78), (87, 79), (87, 83), (89, 36), (89, 39), (89, 41), (89, 45), (89, 46), (89, 55), (89, 62), (89, 74), (89, 76), (89, 78), (89, 79), (89, 83), (104, 36), (104, 39), (104, 41), (104, 45), (104, 46), (104, 55), (104, 62), (104, 74), (104, 76), (104, 78), (104, 79), (104, 83), (106, 36), (106, 39), (106, 41), (106, 45), (106, 46), (106, 55), (106, 62), (106, 74), (106, 76), (106, 78), (106, 79), (106, 83)]",0.00407,0.00483,"[(106, 39)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor C,3,clear,11,7,pass,helper,0,NA,NA,NA,NA,NA,NA,0.00031,0.21178,"[(57, 27)]",0.0019,0.10838,"[(57, 78)]"
10073,clear nocolor C,3,clear,11,8,"(87, 46)",architect,1,0.01002,0.01002,"[(87, 27), (87, 36), (87, 39), (87, 41), (87, 46), (87, 55), (87, 62), (87, 74), (87, 76), (87, 78), (87, 79), (87, 83), (89, 27), (89, 36), (89, 39), (89, 41), (89, 46), (89, 55), (89, 62), (89, 74), (89, 76), (89, 78), (89, 79), (89, 83), (106, 27), (106, 36), (106, 39), (106, 41), (106, 46), (106, 55), (106, 62), (106, 74), (106, 76), (106, 78), (106, 79), (106, 83)]",0.00483,0.00703,"[(106, 39)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor C,3,clear,11,9,"(105, 83)",helper,1,NA,NA,NA,NA,NA,NA,0.00121,0.30205,"[(57, 27)]",0.00171,0.11181,"[(57, 78)]"
10073,clear nocolor C,3,clear,11,10,"(89, 65)",architect,1,0.01163,0.01163,"[(89, 27), (89, 28), (89, 36), (89, 39), (89, 41), (89, 55), (89, 62), (89, 65), (89, 74), (89, 76), (89, 78), (89, 79), (106, 27), (106, 28), (106, 36), (106, 39), (106, 41), (106, 55), (106, 62), (106, 65), (106, 74), (106, 76), (106, 78), (106, 79)]",0.00626,0.01148,"[(89, 39)]",NA,NA,NA,NA,NA,NA
10073,clear nocolor C,3,clear,11,11,"(106, 47)",helper,1,NA,NA,NA,NA,NA,NA,0.00716,0.32186,"[(57, 27)]",0.0019,0.16018,"[(57, 27)]"
10073,clear nocolor C,3,clear,11,12,"(107, 28)",architect,1,0.01386,0.01386,"[(107, 27), (107, 28), (107, 29), (107, 36), (107, 39), (107, 41), (107, 55), (107, 62), (107, 74), (107, 76), (107, 78), (107, 79)]",0.00745,0.02886,"[(107, 39)]",NA,NA,NA,NA,NA,NA
10073,move red B,4,move,11,0,"(104, 79)",architect,1,0.00844,0.00844,"[(54, 62), (54, 78), (54, 79), (54, 82), (54, 83), (54, 99), (57, 62), (57, 78), (57, 79), (57, 82), (57, 83), (57, 99), (66, 41), (66, 55), (66, 62), (66, 69), (66, 74), (66, 76), (66, 78), (66, 79), (66, 82), (66, 83), (66, 88), (66, 99), (85, 62), (85, 78), (85, 79), (85, 82), (85, 83), (85, 99), (89, 41), (89, 55), (89, 62), (89, 69), (89, 74), (89, 76), (89, 78), (89, 79), (89, 82), (89, 83), (89, 88), (89, 99), (104, 62), (104, 78), (104, 79), (104, 82), (104, 83), (104, 99)]",0.00757,0.0112,"[(54, 79)]",NA,NA,NA,NA,NA,NA
10073,move red B,4,move,11,1,"(85, 78)",helper,1,NA,NA,NA,NA,NA,NA,0.0133,0.18929,"[(66, 82)]",0.00038,0.08867,"[(57, 99)]"
10073,move red B,4,move,11,2,"(54, 61)",architect,1,0.00921,0.00921,"[(54, 60), (54, 61), (54, 62), (54, 82), (54, 83), (54, 99), (57, 60), (57, 61), (57, 62), (57, 82), (57, 83), (57, 99), (66, 41), (66, 55), (66, 60), (66, 61), (66, 62), (66, 69), (66, 74), (66, 76), (66, 82), (66, 83), (66, 85), (66, 88), (66, 99), (66, 104), (89, 41), (89, 55), (89, 60), (89, 61), (89, 62), (89, 69), (89, 74), (89, 76), (89, 82), (89, 83), (89, 85), (89, 88), (89, 99), (89, 104)]",0.02134,0.02134,"[(54, 61), (54, 62)]",NA,NA,NA,NA,NA,NA
10073,move red B,4,move,11,3,"(57, 60)",helper,1,NA,NA,NA,NA,NA,NA,0.00573,0.23843,"[(66, 82)]",4e-05,0.0629,"[(57, 99)]"
10073,move red B,4,move,11,4,"(66, 104)",architect,1,0.00884,0.00884,"[(66, 41), (66, 42), (66, 43), (66, 55), (66, 57), (66, 62), (66, 69), (66, 74), (66, 76), (66, 82), (66, 83), (66, 85), (66, 88), (66, 99), (66, 104), (72, 41), (72, 42), (72, 43), (72, 55), (72, 57), (72, 62), (72, 69), (72, 74), (72, 76), (72, 82), (72, 83), (72, 85), (72, 88), (72, 99), (72, 104), (89, 41), (89, 42), (89, 43), (89, 55), (89, 57), (89, 62), (89, 69), (89, 74), (89, 76), (89, 82), (89, 83), (89, 85), (89, 88), (89, 99), (89, 104)]",0.01307,0.03459,"[(72, 85)]",NA,NA,NA,NA,NA,NA
10073,move red B,4,move,11,5,"(84, 62)",helper,1,NA,NA,NA,NA,NA,NA,0.01788,0.08922,"[(84, 99)]",1e-05,0.0406,"[(89, 99)]"
10073,move red B,4,move,11,6,"(102, 43)",architect,1,0.00885,0.00885,"[(72, 41), (72, 42), (72, 43), (72, 44), (72, 55), (72, 57), (72, 69), (72, 74), (72, 76), (72, 82), (72, 83), (72, 85), (72, 86), (72, 88), (72, 99), (89, 41), (89, 42), (89, 43), (89, 44), (89, 55), (89, 57), (89, 69), (89, 74), (89, 76), (89, 82), (89, 83), (89, 85), (89, 86), (89, 88), (89, 99), (102, 42), (102, 43), (102, 44), (102, 82), (102, 83), (102, 99)]",0.01189,0.02281,"[(72, 43), (72, 44)]",NA,NA,NA,NA,NA,NA
10073,move red B,4,move,11,7,"(72, 74)",helper,1,NA,NA,NA,NA,NA,NA,0.02987,0.07975,"[(89, 99)]",0.0,0.03614,"[(89, 99)]"
10073,move red B,4,move,11,8,"(90, 42)",architect,1,0.00995,0.00995,"[(89, 25), (89, 41), (89, 42), (89, 44), (89, 55), (89, 56), (89, 57), (89, 69), (89, 76), (89, 82), (89, 83), (89, 85), (89, 86), (89, 88), (89, 99), (89, 102), (90, 25), (90, 42), (90, 44), (90, 82), (90, 83), (90, 99)]",0.01562,0.01569,"[(90, 25), (90, 44)]",NA,NA,NA,NA,NA,NA
10073,move red B,4,move,11,9,"(89, 88)",helper,1,NA,NA,NA,NA,NA,NA,0.04518,0.07783,"[(89, 99)]",0.0,0.06287,"[(89, 99)]"
10073,move red B,4,move,11,10,"(107, 44)",architect,1,0.01154,0.01154,"[(107, 24), (107, 25), (107, 44), (107, 82), (107, 83), (107, 99)]",0.00729,0.00804,"[(107, 83)]",NA,NA,NA,NA,NA,NA
10073,cover red all,5,cover,6,0,"(92, 36)",architect,1,0.00648,0.00648,"[(54, 39), (54, 62), (54, 67), (54, 78), (54, 86), (57, 36), (57, 62), (57, 67), (57, 78), (57, 86), (59, 36), (59, 39), (59, 62), (59, 67), (59, 78), (59, 86), (73, 36), (73, 39), (73, 62), (73, 67), (73, 78), (73, 86), (80, 36), (80, 39), (80, 67), (80, 78), (80, 86), (85, 36), (85, 39), (85, 62), (85, 78), (85, 86), (87, 36), (87, 39), (87, 62), (87, 67), (87, 78), (87, 86), (92, 36), (92, 39), (92, 62), (92, 67), (92, 78), (92, 86), (94, 36), (94, 39), (94, 62), (94, 67), (94, 78), (94, 86), (96, 36), (96, 39), (96, 62), (96, 67), (96, 86), (97, 36), (97, 39), (97, 62), (97, 67), (97, 78), (97, 86), (100, 36), (100, 39), (100, 62), (100, 67), (100, 78), (100, 86), (101, 36), (101, 39), (101, 62), (101, 67), (101, 78), (101, 86), (104, 36), (104, 39), (104, 62), (104, 67), (104, 78), (106, 36), (106, 39), (106, 62), (106, 67), (106, 78), (106, 86)]",0.0035,0.00351,"[(101, 67)]",NA,NA,NA,NA,NA,NA
10073,cover red all,5,cover,6,1,pass,helper,0,NA,NA,NA,NA,NA,NA,0.0,0.05299,"[(66, 99)]",0.0,0.02151,"[(57, 99)]"
10073,cover red all,5,cover,6,2,"(59, 39)",architect,1,0.00771,0.00771,"[(57, 62), (57, 67), (57, 78), (57, 86), (59, 39), (59, 62), (59, 67), (59, 78), (59, 86), (73, 39), (73, 62), (73, 67), (73, 78), (73, 86), (80, 39), (80, 67), (80, 78), (80, 86), (85, 39), (85, 62), (85, 78), (85, 86), (87, 39), (87, 62), (87, 67), (87, 78), (87, 86), (94, 39), (94, 62), (94, 67), (94, 78), (94, 86), (96, 39), (96, 62), (96, 67), (96, 86), (97, 39), (97, 62), (97, 67), (97, 78), (97, 86), (100, 39), (100, 62), (100, 67), (100, 78), (100, 86), (101, 39), (101, 62), (101, 67), (101, 78), (101, 86), (104, 39), (104, 62), (104, 67), (104, 78), (106, 39), (106, 62), (106, 67), (106, 78), (106, 86)]",0.00392,0.00403,"[(101, 67)]",NA,NA,NA,NA,NA,NA
10073,cover red all,5,cover,6,3,"(80, 78)",helper,1,NA,NA,NA,NA,NA,NA,1e-05,0.08131,"[(66, 99)]",0.0,0.022,"[(39, 82)]"
10073,cover red all,5,cover,6,4,"(98, 60)",architect,1,0.00969,0.00969,"[(73, 60), (73, 67), (73, 86), (77, 60), (77, 67), (77, 86), (85, 60), (85, 86), (87, 60), (87, 67), (87, 86), (94, 60), (94, 67), (94, 86), (97, 60), (97, 67), (97, 86), (98, 60), (98, 67), (98, 86), (100, 60), (100, 67), (100, 86), (101, 60), (101, 67), (101, 86), (104, 60), (104, 67), (106, 60), (106, 67), (106, 86)]",0.00425,0.00654,"[(101, 67)]",NA,NA,NA,NA,NA,NA
10073,cover red all,5,cover,6,5,"(104, 48)",helper,0,NA,NA,NA,NA,NA,NA,0.0,0.0748,"[(85, 98)]",0.0,0.02093,"[(39, 82)]"
10073,cover red all,5,cover,6,6,"(85, 30)",architect,1,0.01177,0.01177,"[(48, 67), (73, 30), (73, 67), (77, 30), (77, 67), (85, 30), (87, 30), (87, 67), (94, 30), (94, 67), (97, 30), (97, 67), (100, 30), (100, 67), (101, 30), (101, 67), (106, 30), (106, 67)]",0.00612,0.01996,"[(101, 30), (101, 67)]",NA,NA,NA,NA,NA,NA
10073,cover red all,5,cover,6,7,"(89, 69)",helper,-1,NA,NA,NA,NA,NA,NA,0.00105,0.12536,"[(30, 98)]",0.0,0.02583,"[(39, 82)]"
10073,cover red all,5,cover,6,8,"(103, 12)",architect,1,0.01171,0.01171,"[(69, 12), (69, 89), (73, 12), (73, 89), (77, 12), (77, 89), (94, 12), (94, 89), (97, 12), (97, 89), (100, 12), (100, 89), (101, 12), (101, 89), (103, 12), (103, 89), (106, 12), (106, 89), (107, 12)]",0.01928,0.06749,"[(101, 12)]",NA,NA,NA,NA,NA,NA
10073,cover red all,5,cover,6,9,pass,helper,0,NA,NA,NA,NA,NA,NA,0.00201,0.04215,"[(107, 99)]",0.0,0.03388,"[(39, 82)]"
10073,cover red all,5,cover,6,10,"(106, 89)",architect,1,0.01476,0.01476,"[(69, 89), (73, 89), (77, 89), (94, 89), (97, 89), (100, 89), (101, 89), (106, 89)]",0.05139,0.10733,"[(100, 89)]",NA,NA,NA,NA,NA,NA
10073,fill nocolor C1,6,fill,12,0,"(87, 86)",architect,1,0.00817,0.00817,"[(54, 48), (54, 67), (54, 86), (57, 48), (57, 67), (57, 86), (59, 48), (59, 67), (59, 86), (73, 48), (73, 67), (73, 86), (80, 48), (80, 67), (80, 86), (87, 48), (87, 67), (87, 86), (89, 48), (89, 67), (89, 86), (92, 48), (92, 67), (92, 86), (94, 48), (94, 67), (94, 86), (96, 48), (96, 67), (96, 86), (97, 48), (97, 67), (97, 86), (100, 48), (100, 67), (100, 86), (101, 48), (101, 67), (101, 86), (106, 48), (106, 67), (106, 86)]",0.00346,0.00346,"[(101, 48)]",NA,NA,NA,NA,NA,NA
